mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,cluster
0,ryukyu ongaku,0.988,0.48,117120.0,0.285,0.179,0.12,-10.409,0.0313,82.53399999999998,0.405,0.0,8,5
1,vgm remix,0.1446563333333333,0.5713333333333334,225906.33333333328,0.7266666666666667,0.5883333333333334,0.1632333333333333,-5.133666666666667,0.1104333333333333,120.886,0.3646666666666667,60.33333333333334,5,4
0,polish contemporary classical,0.7482,0.1852533333333333,571903.9333333332,0.2060199999999999,0.5584666666666667,0.11364,-18.08473333333333,0.04516,109.2972,0.0504533333333333,41.73333333333333,2,9
1,chicago pop punk,0.2863875,0.3989999999999999,243658.5,0.64825,0.07,0.1362,-7.0315,0.0386,151.76925000000003,0.3495,54.5,6,8
0,modern psychedelic folk,0.0422,0.7246666666666667,328653.33333333326,0.7090000000000001,0.2326666666666666,0.0602666666666666,-12.085333333333333,0.0378333333333333,136.247,0.7586666666666666,56.0,11,0
1,grunge pop,0.000894975,0.5495,211403.8333333333,0.8696666666666668,0.0023383333333333,0.2864166666666667,-5.056,0.0613666666666666,126.94233333333334,0.4204999999999999,42.16666666666666,11,2
1,contemporary post-bop,0.7487669793494679,0.4871706842041139,355061.5030054525,0.3187289298157197,0.416557109200104,0.1776109707183281,-15.55831597631629,0.0571877272651075,111.56167303661778,0.4497654332890649,24.715163562813352,5,9
1,gothenburg metal,0.0049010602424242,0.4227242424242424,233689.16060606056,0.9403121212121212,0.3115694014242424,0.3935109090909091,-5.370572727272728,0.0758833333333333,123.40763636363636,0.3374636363636363,50.99090909090909,7,8
1,turkish trap,0.00884,0.6669999999999999,335866.66666666674,0.8073333333333332,5.22e-06,0.6499333333333334,-6.722,0.0717333333333333,119.04833333333332,0.3846666666666667,35.333333333333336,1,6
0,nuevo tango,0.9394736842105263,0.4626315789473684,177899.57894736843,0.3938421052631578,0.7761052631578947,0.1997684210526316,-11.441315789473686,0.0372947368421052,124.89868421052633,0.6015263157894737,0.1052631578947368,6,5
1,thai folk,0.3939999999999999,0.7585,221808.5,0.6214999999999999,0.0,0.2345,-5.644,0.02595,111.522,0.6345000000000001,0.0,10,5
1,indie psych-pop,0.5694444444444443,0.5848888888888889,199185.7777777777,0.3923888888888889,0.3008622777777778,0.1274388888888888,-10.878333333333332,0.0517666666666666,96.795,0.3410333333333333,60.22222222222222,1,3
1,haitian traditional,0.8516226190476189,0.5337130952380952,192515.60119047613,0.2336759523809524,0.4315891478690475,0.2680916666666665,-21.624796428571432,0.1323055952380953,113.77234761904764,0.6125644047619049,2.3190476190476192,7,5
1,hard minimal techno,0.0106089692307692,0.8293846153846154,371890.0,0.7458461538461538,0.7286769230769233,0.0804384615384615,-8.369615384615383,0.0774538461538461,128.62453846153844,0.3010384615384615,0.0,7,2
1,anime score,0.3001385636021496,0.4735439909670027,223791.40982048973,0.647054981249025,0.3008432606336703,0.1668462409711565,-8.463057128094626,0.0736475151891989,123.06658317640937,0.3749125433471897,50.53980281174044,5,3
1,sitar,0.8088561827956989,0.3971814516129033,294425.26209677424,0.1910369892473118,0.4393056021505377,0.1338854838709677,-22.839276881720437,0.0626641129032258,89.0954529569892,0.4973575268817204,37.93145161290322,6,9
1,nyc pop,0.2764256062626264,0.6590146464646462,216117.0797979798,0.617121717171717,0.0275682254545454,0.1766694444444444,-7.513908080808082,0.0919918686868686,112.81642626262622,0.4952237373737373,58.993434343434345,6,4
0,vietnamese bolero,0.366,0.792,256227.0,0.4920000000000001,6.92e-06,0.179,-10.642,0.0298,133.80200000000002,0.6809999999999999,41.0,9,0
1,modern blues,0.3272808520875824,0.5478315744527988,308529.30029622995,0.5679436252221842,0.1318951681684288,0.2135859792576783,-9.675761035465348,0.049027169027972,119.24065829667389,0.5681331838993193,40.652889990509735,9,2
0,aussietronica,0.1376792307692307,0.6307153846153846,260786.0730769231,0.6743076923076923,0.1267890907692307,0.1454515384615384,-6.74313076923077,0.0477765384615384,119.23266153846156,0.3131,60.096153846153854,1,0
0,cambridgeshire indie,0.795,0.358,252960.0,0.546,0.0586,0.111,-8.927,0.0296,106.489,0.264,67.0,0,3
1,trap chileno,0.0869,0.6829999999999999,240253.0,0.677,0.0,0.0998,-4.496,0.0469,156.019,0.514,74.0,1,4
1,french hip hop,0.020708,0.7795000000000001,228939.0,0.893,0.263745,0.21995,-6.683,0.10435,100.481,0.6675,46.5,1,4
1,irish country,0.5268314814814814,0.5049166666666667,219093.5,0.4273648148148148,0.0278247987037036,0.1918509259259259,-9.224203703703704,0.0545703703703703,127.15839814814814,0.499824074074074,40.768518518518526,4,3
1,trap triste,0.329975,0.7420000000000001,299041.5833333334,0.7048333333333333,8.866666666666666e-07,0.132575,-4.85425,0.0819333333333333,133.93816666666666,0.5655833333333333,76.08333333333334,11,2
0,azonto,0.1750850389610389,0.7055428571428571,188412.025974026,0.7405766233766233,0.000291333090909,0.1585054545454545,-5.415332467532466,0.1808716883116883,115.0485974025974,0.5983090909090911,43.412987012987024,11,0
0,jewish hip hop,0.0667966666666666,0.7599999999999999,245533.5,0.7203333333333334,0.00386575,0.1104833333333333,-5.245666666666667,0.2823333333333334,97.3205,0.6955,43.5,10,0
1,ambient,0.6732743467076509,0.3350752947488824,350676.8253885043,0.2762974584117708,0.7529056017847178,0.1255357696644399,-19.52910198007929,0.0432678166697356,107.28752653132194,0.1914820761450744,43.24113652812282,11,9
1,russian dance,0.00561,0.653,198095.0,0.945,0.915,0.439,-2.634,0.096,126.093,0.326,77.0,5,6
1,uk dance,0.0936291673384087,0.6485261525352042,218491.48902510325,0.7304257308304724,0.0514550440501629,0.2100133125590883,-6.094336557695178,0.0752242597775787,121.6721150899388,0.5020025420460766,65.09895631188733,5,4
1,german show tunes,0.8147142857142855,0.3971428571428572,370624.7857142858,0.1806357142857142,0.002340475,0.1688571428571428,-17.043857142857142,0.1600214285714286,109.40764285714285,0.1621285714285714,37.35714285714285,0,9
1,panpipe,0.856125,0.374625,253505.125,0.2651250000000001,0.710125,0.10505,-12.677,0.0451875,85.178375,0.0893875,45.875,2,1
1,dominican pop,0.3427568740098574,0.7313650538518814,260005.6176741498,0.6452189071131007,0.0297297366681697,0.1561411416710672,-7.773125237581831,0.0683860911912585,127.37225539056676,0.8064198601122372,46.8842211961062,7,2
1,italian baroque,0.913350449438202,0.3267291479400749,231494.36037185663,0.158531246388443,0.5349360964312465,0.1666695248796147,-19.62602724184056,0.0429458373461744,92.89135030230072,0.2386628130016052,15.779628143392188,7,9
1,pop romantico,0.4972855461060644,0.5075600491840071,211678.67837383773,0.4998668200551085,0.0218238669043223,0.2213947496173137,-9.895674169541756,0.0416631411496189,111.3631154453666,0.530424988253295,40.53679501932052,2,3
1,indie jazz,0.485086014059115,0.6193122666194278,337270.1891690009,0.5027112445241602,0.2565145205633242,0.1606904195406752,-10.689750482722731,0.0774162237371892,110.30320065424064,0.4891215022161697,46.03705395201559,7,2
1,la pop,0.1879815457875458,0.5772974358974358,228588.5842490842,0.6521889499389498,0.0071915027557997,0.214267905982906,-6.717632051282051,0.1119454822954822,121.41163186813186,0.3808847374847375,59.06001221001221,8,2
0,swedish power metal,0.14755283005291,0.4134417989417989,344141.32539682544,0.7693465608465608,0.1109871096031746,0.2194142857142857,-6.549195767195768,0.0720730158730158,136.36731216931216,0.3196052910052909,44.33597883597884,7,8
1,jug band,0.9029263888888888,0.5611277777777778,192970.5173611111,0.3504840277777777,0.057980135625,0.209530625,-11.533784027777774,0.055728125,115.03021111111111,0.5642604166666667,13.724999999999998,7,5
1,swedish country,0.09625,0.616125,222060.0,0.795,0.00090163625,0.1011125,-6.751875,0.0529875,117.941,0.484,58.5,6,2
0,danish pop,0.0419644444444444,0.7442063492063492,223105.57142857145,0.7272698412698413,0.0218571746031746,0.1320285714285714,-4.819047619047619,0.0967714285714285,132.15596825396827,0.5181428571428571,59.650793650793645,9,0
1,south african alternative,0.5465541666666667,0.8052916666666667,190399.04166666663,0.5195000000000001,0.1155631375,0.2337916666666667,-7.736458333333332,0.0808416666666666,128.15016666666668,0.2965,57.58333333333334,7,4
1,kentucky hip hop,0.2195526865671641,0.689043843283582,165553.83232276118,0.5082294776119404,0.0001789665041977,0.1921450093283582,-8.011282416044775,0.3334966417910448,116.731526119403,0.4640393190298507,69.80293843283582,11,4
0,cornwall indie,0.0437,0.391,218773.0,0.63,0.00115,0.113,-6.763999999999999,0.0274,174.04,0.134,43.0,3,8
1,indie rock,0.2436046038030565,0.5234866535345869,242354.61989687383,0.6490910988981262,0.1531099439697404,0.1870667131658761,-7.882596786699978,0.0545933379118525,122.2970058203872,0.4721417727284536,48.847724569136496,7,2
1,ontario indie,0.2650204444444444,0.6168055555555555,225593.6388888889,0.6171666666666668,0.0474971611111111,0.1491277777777777,-9.884972222222224,0.0384916666666666,114.17266666666669,0.5370972222222222,46.47222222222222,7,2
1,baltimore hip hop,0.1727166666666666,0.8315,190730.0,0.5303333333333333,0.0,0.0833833333333333,-7.1,0.1402,117.502,0.5596666666666668,62.83333333333334,5,4
0,shiver pop,0.2155273711967545,0.6158916835699796,251743.1135902637,0.6095853955375253,0.1550014358458418,0.150804462474645,-7.21851724137931,0.0739838133874239,118.84897728194724,0.4241638945233265,48.72210953346856,4,0
1,reggae rock,0.1667697510731735,0.7296303634131218,250885.89681071305,0.5859938215406965,0.0341563822599323,0.1551564615197373,-8.067810253240536,0.0782191711928565,117.83700219734531,0.675422546052826,45.21651091026092,7,2
1,boston metal,0.0022205384,0.3479200000000001,249768.79333333328,0.8955666666666665,0.0479772533333333,0.1582626666666666,-4.657266666666668,0.0732206666666666,144.29392000000004,0.38718,45.75333333333333,7,8
